27.07.2016  1   72,3478
28.07.2016  1   72,5150
29.07.2016  1   73,4047
30.07.2016  1   74,3799
02.08.2016  1   73,6523
03.08.2016  1   74,9007
04.08.2016  1   74,7978
05.08.2016  1   73,9232
06.08.2016  1   73,0303
09.08.2016  1   72,1476
10.08.2016  1   71,7556
11.08.2016  1   72,2349
12.08.2016  1   72,4644
13.08.2016  1   71,7158
16.08.2016  1   71,7263
17.08.2016  1   71,9645
18.08.2016  1   72,0832
19.08.2016  1   71,9371
20.08.2016  1   72,4558
23.08.2016  1   72,4457
24.08.2016  1   73,4733
25.08.2016  1   73,2074
26.08.2016  1   73,2135
27.08.2016  1   73,0892
30.08.2016  1   72,7996
31.08.2016  1   72,5013
01.09.2016  1   72,6859
02.09.2016  1   72,6828
03.09.2016  1   73,7199
06.09.2016  1   72,3742
07.09.2016  1   72,3639
08.09.2016  1   72,4022
09.09.2016  1   72,0464
10.09.2016  1   72,3359
13.09.2016  1   73,1986
14.09.2016  1   72,7559
15.09.2016  1   72,9460
16.09.2016  1   73,2126
17.09.2016  1   73,0208
20.09.2016  1   72,4477
21.09.2016  1   72,5279
22.09.2016  1   71,8404
23.09.2016  1   71,6728
24.09.2016  1   71,5854
27.09.2016  1   72,0604
28.09.2016  1   71,6409
29.09.2016  1   71,5738
30.09.2016  1   70,8823
01.10.2016  1   70,9338
04.10.2016  1   70,2411
05.10.2016  1   69,7556
06.10.2016  1   70,0782
07.10.2016  1   69,8518
08.10.2016  1   69,2312
11.10.2016  1   69,7253
12.10.2016  1   69,1231
13.10.2016  1   69,1173
14.10.2016  1   69,7255
15.10.2016  1   69,3746
18.10.2016  1   69,3587
19.10.2016  1   69,2608
20.10.2016  1   68,7674
21.10.2016  1   68,4741
22.10.2016  1   68,0267
25.10.2016  1   67,7302
26.10.2016  1   67,4958
27.10.2016  1   67,9253
28.10.2016  1   68,7576
29.10.2016  1   68,6783
01.11.2016  1   69,2863
02.11.2016  1   69,3647
03.11.2016  1   70,2339
04.11.2016  1   70,5977
08.11.2016  1   70,6944
09.11.2016  1   70,4542
10.11.2016  1   71,3491
11.11.2016  1   69,3392
12.11.2016  1   71,1253
15.11.2016  1   71,0488
16.11.2016  1   70,6156
17.11.2016  1   69,2388
18.11.2016  1   69,4984
19.11.2016  1   68,9889
22.11.2016  1   68,3611
23.11.2016  1   67,5413
24.11.2016  1   68,0540
25.11.2016  1   68,0855
26.11.2016  1   68,4363
29.11.2016  1   69,1608
30.11.2016  1   68,8416
01.12.2016  1   69,3417
02.12.2016  1   67,6162
03.12.2016  1   68,4703
06.12.2016  1   67,7660
07.12.2016  1   68,6902
08.12.2016  1   68,5002
09.12.2016  1   68,2458
10.12.2016  1   67,2086
13.12.2016  1   65,0720
14.12.2016  1   64,9774
15.12.2016  1   64,7543
16.12.2016  1   64,6139
17.12.2016  1   64,4809
20.12.2016  1   64,6727
21.12.2016  1   64,2006
22.12.2016  1   63,6086
23.12.2016  1   63,5604
24.12.2016  1   63,5425
27.12.2016  1   63,7285
28.12.2016  1   63,5730
29.12.2016  1   63,4879
30.12.2016  1   63,0214
31.12.2016  1   63,8111
10.01.2017  1   63,1125
11.01.2017  1   63,5445
12.01.2017  1   63,5184
13.01.2017  1   63,2759
14.01.2017  1   63,1222
17.01.2017  1   63,2308
18.01.2017  1   63,2864
19.01.2017  1   63,2252
20.01.2017  1   63,1803
21.01.2017  1   63,7272
24.01.2017  1   63,9424
25.01.2017  1   63,6225
26.01.2017  1   63,4254
27.01.2017  1   64,0248
28.01.2017  1   64,3429
31.01.2017  1   64,4333
01.02.2017  1   64,2850
02.02.2017  1   65,0322
03.02.2017  1   64,7307
04.02.2017  1   63,8156
07.02.2017  1   63,1566
08.02.2017  1   63,2362
09.02.2017  1   63,4467
10.02.2017  1   63,0253
11.02.2017  1   62,6824
14.02.2017  1   61,7662
15.02.2017  1   61,2955
16.02.2017  1   60,0249
17.02.2017  1   60,6540
18.02.2017  1   61,4496
21.02.2017  1   61,6987
22.02.2017  1   61,2090
23.02.2017  1   60,4535
28.02.2017  1   61,2569
01.03.2017  1   61,3883
02.03.2017  1   61,5417
03.03.2017  1   61,5198
04.03.2017  1   61,9850
07.03.2017  1   61,8606
08.03.2017  1   61,7063
10.03.2017  1   61,9911
11.03.2017  1   62,7408
14.03.2017  1   63,2661
15.03.2017  1   62,7447
16.03.2017  1   62,8428
17.03.2017  1   62,4897
18.03.2017  1   62,3722
21.03.2017  1   61,6956
22.03.2017  1   61,7308
23.03.2017  1   62,2699
24.03.2017  1   62,0959
25.03.2017  1   61,8636
28.03.2017  1   61,9615
29.03.2017  1   61,8102
30.03.2017  1   61,5347
31.03.2017  1   60,5950
01.04.2017  1   59,8107
04.04.2017  1   59,8953
05.04.2017  1   60,2427
06.04.2017  1   59,6948
07.04.2017  1   60,0827
08.04.2017  1   60,5687
11.04.2017  1   60,7469
12.04.2017  1   60,3042
13.04.2017  1   60,2631
14.04.2017  1   60,2867
15.04.2017  1   59,7791
18.04.2017  1   59,8393
19.04.2017  1   59,6124
20.04.2017  1   60,2649
21.04.2017  1   60,6139
22.04.2017  1   60,3187
25.04.2017  1   60,8461
26.04.2017  1   60,7932
27.04.2017  1   61,5052
28.04.2017  1   62,1664
29.04.2017  1   62,0440
03.05.2017  1   62,1515
04.05.2017  1   62,3224
05.05.2017  1   62,7298
06.05.2017  1   64,2398
11.05.2017  1   63,2634
12.05.2017  1   62,1595
13.05.2017  1   62,0915
16.05.2017  1   61,8449
17.05.2017  1   62,0382
18.05.2017  1   62,9568
