2.154	13.055	4.041	1.908	2.173	1.908	108.216
1.169	13.184	4.150	1.907	1.194	1.907	101.426
1.827	2.469	0.952	1.727	1.862	1.727	56.312
2.055	13.344	4.159	1.705	2.021	2.092	109.639
1.457	14.938	4.653	1.983	1.434	2.407	115.290
2.456	14.918	4.624	1.871	2.472	2.216	119.880
2.175	15.340	4.805	0.674	2.179	0.674	112.241
2.731	8.535	2.803	1.919	2.733	2.336	96.952
1.965	9.660	2.992	1.968	1.962	1.968	94.920
1.914	4.328	1.462	1.748	1.907	2.203	76.833
0.912	4.441	1.629	1.458	0.947	1.793	68.820
3.135	9.531	3.078	2.000	3.119	2.576	109.428
2.983	3.355	1.171	1.496	2.980	1.836	74.020
3.119	12.715	3.963	1.902	3.120	2.637	118.093
2.189	12.602	3.976	1.993	2.186	2.427	109.959
3.348	11.895	3.748	1.807	3.319	2.211	111.914
2.480	10.438	3.334	1.215	2.488	1.215	98.642
2.031	6.781	2.206	0.631	2.023	0.958	65.320
1.995	7.992	2.499	1.273	1.995	3.109	94.556
2.436	3.727	1.313	1.998	2.438	1.998	73.285
0.827	6.738	2.209	2.000	0.845	2.000	82.011
2.731	5.699	1.889	1.736	2.742	1.736	4752.781
1.788	15.863	4.915	1.630	1.797	1.630	114.180
1.540	2.238	0.851	0.738	1.535	0.738	58.139
1.878	11.582	3.709	0.536	1.830	1.604	102.149
1.123	3.270	1.145	1.986	1.140	2.311	66.966
2.942	15.730	4.868	1.965	2.935	2.281	128.473
2.281	5.379	1.778	1.803	2.272	1.803	86.502
1.741	14.637	4.610	1.993	1.727	1.993	115.218
1.812	7.078	2.342	1.967	1.776	1.967	84.326
1.995	1.082	0.481	1.198	2.005	1.784	58.135
2.495	2.746	1.019	1.969	2.512	2.500	72.459
1.903	10.113	3.190	1.339	1.892	1.339	106.784
3.722	7.434	2.379	1.470	3.735	1.784	101.028
1.193	9.496	3.044	1.741	1.197	2.219	93.724
2.073	12.336	3.857	1.898	2.087	2.253	124.792
1.122	10.059	3.174	1.846	1.123	2.165	96.992
1.526	1.879	0.720	1.777	1.553	2.273	3089.571
1.420	4.723	1.612	1.819	1.403	1.819	72.459
2.575	12.750	3.981	1.940	2.579	7.194	138.583
1.948	7.500	2.406	1.996	1.981	1.996	80.984
2.044	11.152	3.564	1.986	2.078	1.986	101.817
2.548	0.492	0.335	0.362	2.555	0.362	53.568
1.524	0.332	0.295	1.974	1.518	1.974	52.909
0.853	5.996	1.955	1.821	0.858	1.821	73.297
2.612	8.645	2.750	1.413	2.640	1.788	93.602
2.236	6.309	2.127	0.328	2.242	0.328	75.056
1.258	7.184	2.366	1.383	1.245	1.695	81.270
1.860	2.176	0.879	1.981	1.864	1.981	62.620
2.111	5.043	1.638	1.998	2.108	2.412	79.893
1.496	8.066	2.561	1.904	1.500	1.904	87.042
1.582	7.770	2.557	1.952	1.584	2.291	86.491
3.302	2.590	0.972	1.872	3.316	1.872	72.881
1.226	10.609	3.347	1.469	1.250	2.035	96.771
1.866	5.164	1.737	2.000	1.882	2.309	227.190
1.881	10.555	3.330	1.987	1.856	2.611	102.484
1.837	2.129	0.826	1.466	1.821	1.466	55.327
1.345	5.973	1.995	1.814	1.351	1.814	74.218
3.575	9.707	3.139	0.158	3.569	0.158	95.466
2.018	10.156	3.219	1.295	2.011	1.295	112.009
2.751	2.242	0.821	0.898	2.766	2.598	71.467
1.551	6.793	2.249	0.417	1.552	0.722	75.435
2.640	9.762	3.054	2.000	2.647	2.000	104.381
1.812	9.211	2.912	1.845	1.798	1.845	93.403
1.887	14.020	4.417	1.992	1.864	2.800	118.128
2.009	12.039	3.823	1.058	2.018	1.396	103.158
2.922	15.336	4.757	1.944	2.942	2.297	124.354
2.258	3.191	1.161	1.941	2.296	1.941	71.990
2.170	11.465	3.604	1.607	2.160	2.900	98.497
2.193	15.527	4.791	1.899	2.176	2.203	121.162
1.570	3.043	1.132	0.055	1.560	0.055	58.967
2.344	11.480	3.616	1.997	2.305	1.997	104.589
2.627	7.441	2.404	1.999	2.643	2.435	91.761
1.331	15.004	4.657	1.983	1.330	1.983	113.318
1.251	15.234	4.727	0.644	1.265	1.536	113.373
1.881	12.027	3.889	1.997	1.881	2.743	110.427
1.828	12.418	3.889	1.785	1.843	1.785	84.722
3.387	15.441	4.836	0.780	3.369	0.780	124.862
2.757	8.145	2.646	1.746	2.734	2.057	96.040
2.603	1.809	0.699	1.999	2.642	1.999	65.960
1.346	11.645	3.665	1.670	1.313	2.029	108.571
2.226	9.965	3.193	1.695	2.192	1.695	99.084
2.328	15.453	4.933	1.547	2.352	1.547	119.094
2.072	13.355	4.218	2.000	2.116	2.330	113.337
2.786	7.086	2.313	1.929	2.809	2.321	90.305
2.880	14.348	4.507	1.983	2.849	2.381	119.626
2.137	3.629	1.346	1.940	2.141	3.363	77.009
1.880	9.523	3.029	1.513	1.862	1.991	94.855
2.667	10.246	3.269	1.880	2.676	1.880	101.962
1.977	13.438	4.297	1.859	1.950	2.284	113.040
3.302	10.562	3.333	1.935	3.312	2.402	112.387
1.839	7.488	2.465	1.934	1.831	3.112	90.829
2.809	6.109	1.989	1.971	2.796	2.307	87.017
3.411	15.738	4.862	2.000	3.409	2.000	146.170
1.807	7.219	2.298	1.887	1.816	2.507	86.906
1.793	11.129	3.581	1.944	1.807	1.944	108.239
1.467	10.023	3.155	1.995	1.468	1.995	92.932
2.308	5.586	1.934	1.927	2.301	1.927	81.016
1.307	2.781	1.030	1.508	1.307	1.508	63.467
0.949	15.562	4.888	1.945	0.949	2.996	123.454
1.697	5.238	1.720	1.777	1.718	2.088	75.849
1.923	4.703	1.559	1.971	1.896	2.977	77.838
1.665	0.355	0.325	1.679	1.662	1.679	54.768
2.446	8.809	2.807	0.759	2.443	0.759	92.168
2.032	0.336	0.288	2.000	1.981	2.000	54.863
2.641	10.715	3.519	1.920	2.661	1.920	103.844
2.061	4.270	1.429	1.987	2.034	2.464	76.752
2.409	6.938	2.214	0.494	2.432	0.494	79.772
3.506	3.656	1.277	0.708	3.490	1.207	77.959
1.578	10.996	3.494	1.647	1.564	1.647	97.361
2.496	11.961	3.791	1.999	2.498	2.786	111.537
1.805	7.883	2.552	1.999	1.793	2.513	90.702
2.535	10.062	3.214	1.989	2.525	1.989	103.997
2.270	11.195	3.538	2.000	2.239	2.000	104.144
2.739	5.414	1.812	1.868	2.734	1.868	81.508
1.696	12.371	3.922	1.145	1.717	1.145	101.556
2.161	1.309	0.588	1.672	2.181	1.672	59.350
1.952	6.035	1.982	1.832	1.946	2.249	76.481
1.937	1.500	0.677	1.535	1.923	1.535	60.582
1.938	13.988	4.400	1.999	1.924	2.500	115.345
1.855	8.156	2.634	1.810	1.820	2.388	90.685
2.772	2.844	0.986	1.627	2.768	1.627	68.986
1.298	14.559	4.539	1.677	1.319	1.984	111.925
2.769	10.531	3.308	1.858	2.777	1.858	103.544
2.945	11.980	3.805	1.805	2.948	2.159	113.179
1.271	1.145	0.500	1.973	1.258	1.973	57.671
